GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1400000US12001000200,12001000200,"Census Tract 2, Alachua County, Florida",225,110,111,82,0,19,0,19,0,19,0,19,0,19,48,50,37,43,26,41,0,19,0,19,0,19,0,19,0,19,0,19,114,68,0,19,0,19,0,19,0,19,41,40,73,58,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
1400000US12001000301,12001000301,"Census Tract 3.01, Alachua County, Florida",128,92,68,64,17,28,0,13,0,13,0,13,0,13,19,21,13,22,19,30,0,13,0,13,0,13,0,13,0,13,0,13,60,45,0,13,0,13,0,13,0,13,9,14,28,34,0,13,12,21,0,13,0,13,0,13,4,7,7,11,0,13
1400000US12001000302,12001000302,"Census Tract 3.02, Alachua County, Florida",179,262,113,164,0,13,0,13,0,13,0,13,41,61,41,61,0,13,0,13,0,13,0,13,0,13,31,45,0,13,0,13,66,99,0,13,0,13,0,13,0,13,0,13,43,65,0,13,0,13,0,13,0,13,23,35,0,13,0,13,0,13
1400000US12001000400,12001000400,"Census Tract 4, Alachua County, Florida",72,77,21,34,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,21,34,0,19,0,19,0,19,0,19,51,58,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,15,23,0,19,15,23,0,19,21,30,0,19
1400000US12001000500,12001000500,"Census Tract 5, Alachua County, Florida",118,114,101,101,0,19,0,19,0,19,0,19,0,19,0,19,14,23,0,19,59,94,28,41,0,19,0,19,0,19,0,19,17,29,0,19,0,19,0,19,0,19,0,19,0,19,17,29,0,19,0,19,0,19,0,19,0,19,0,19,0,19
1400000US12001000600,12001000600,"Census Tract 6, Alachua County, Florida",58,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,58,60,0,13,0,13,0,13,0,13,0,13,13,21,45,46,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US12001000700,12001000700,"Census Tract 7, Alachua County, Florida",41,68,13,22,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,13,22,0,19,28,47,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,28,47,0,19,0,19,0,19,0,19,0,19
1400000US12001000806,12001000806,"Census Tract 8.06, Alachua County, Florida",274,119,154,83,0,13,0,13,0,13,10,17,4,9,17,17,9,11,47,47,26,32,41,44,0,13,0,13,0,13,0,13,120,68,0,13,29,36,0,13,0,13,5,9,8,12,9,16,35,33,22,21,12,17,0,13,0,13,0,13,0,13
1400000US12001000808,12001000808,"Census Tract 8.08, Alachua County, Florida",582,223,365,184,11,16,9,15,0,13,10,15,56,90,142,105,60,42,39,35,20,23,18,22,0,13,0,13,0,13,0,13,217,129,7,11,0,13,16,21,0,13,11,19,55,37,61,79,8,13,48,37,0,13,11,19,0,13,0,13,0,13
1400000US12001000809,12001000809,"Census Tract 8.09, Alachua County, Florida",130,61,47,34,0,13,5,8,0,13,0,13,0,13,14,21,4,6,6,10,6,9,2,5,0,13,10,16,0,13,0,13,83,38,4,6,3,10,0,13,0,13,0,13,9,9,14,12,5,7,22,18,13,16,3,6,10,14,0,13,0,13
1400000US12001000901,12001000901,"Census Tract 9.01, Alachua County, Florida",632,162,344,113,26,30,5,9,6,9,0,19,138,81,36,26,65,49,45,26,23,20,0,19,0,19,0,19,0,19,0,19,288,88,0,19,22,27,0,19,11,13,113,58,61,38,45,27,31,27,5,8,0,19,0,19,0,19,0,19,0,19
1400000US12001000902,12001000902,"Census Tract 9.02, Alachua County, Florida",612,120,259,86,0,19,0,19,0,19,6,12,217,81,21,20,3,4,12,13,0,19,0,19,0,19,0,19,0,19,0,19,353,84,0,19,0,19,0,19,0,19,289,79,48,33,12,12,4,6,0,19,0,19,0,19,0,19,0,19,0,19
1400000US12001001000,12001001000,"Census Tract 10, Alachua County, Florida",60,54,20,28,0,19,0,19,0,19,0,19,5,11,5,10,0,19,0,19,0,19,0,19,10,24,0,19,0,19,0,19,40,45,0,19,0,19,0,19,0,19,23,38,0,19,0,19,0,19,0,19,0,19,17,27,0,19,0,19,0,19
1400000US12001001100,12001001100,"Census Tract 11, Alachua County, Florida",298,214,149,123,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,107,115,0,19,31,33,0,19,11,21,0,19,149,100,0,19,0,19,0,19,0,19,0,19,0,19,0,19,93,86,0,19,0,19,29,32,16,30,11,17,0,19
1400000US12001001201,12001001201,"Census Tract 12.01, Alachua County, Florida",262,144,157,87,0,13,0,13,0,13,16,23,0,13,38,38,15,24,0,13,54,51,26,31,8,12,0,13,0,13,0,13,105,78,0,13,0,13,35,42,14,22,0,13,0,13,0,13,0,13,13,20,33,34,10,15,0,13,0,13,0,13
